,Zone,Year,Date,Above Danger,Near Danger,Below Danger
0,6,2021,2021/04/12 6:17 AM,0,1,1
1,6,2021,2021/04/11 6:24 AM,0,1,1
2,6,2021,2021/04/10 5:56 AM,0,1,1
3,6,2021,2021/04/09 6:17 AM,0,1,1
4,6,2021,2021/04/08 7:01 AM,0,2,2
5,6,2021,2021/04/07 6:38 AM,0,1,1
6,6,2021,2021/04/06 6:38 AM,0,2,2
7,6,2021,2021/04/05 6:27 AM,0,3,3
8,6,2021,2021/04/04 6:29 AM,0,3,3
9,6,2021,2021/04/03 7:01 AM,0,2,3
10,6,2021,2021/04/02 7:33 AM,0,2,2
11,6,2021,2021/04/01 6:01 AM,0,1,1
12,6,2021,2021/03/31 6:32 AM,0,1,1
13,6,2021,2021/03/30 6:30 AM,0,1,1
14,6,2021,2021/03/29 6:16 AM,0,2,2
15,6,2021,2021/03/28 6:44 AM,0,2,2
16,6,2021,2021/03/27 7:32 AM,0,2,2
17,6,2021,2021/03/26 7:21 AM,0,2,2
18,6,2021,2021/03/25 7:06 AM,0,2,2
19,6,2021,2021/03/24 7:15 AM,0,1,1
20,6,2021,2021/03/23 5:35 AM,0,1,1
21,6,2021,2021/03/22 7:04 AM,0,1,1
22,6,2021,2021/03/21 7:02 AM,0,1,1
23,6,2021,2021/03/20 7:18 AM,0,2,2
24,6,2021,2021/03/19 6:49 AM,0,2,2
25,6,2021,2021/03/18 7:01 AM,0,2,2
26,6,2021,2021/03/17 6:37 AM,0,1,1
27,6,2021,2021/03/16 7:26 AM,0,2,2
28,6,2021,2021/03/15 7:23 AM,0,2,2
29,6,2021,2021/03/14 7:25 AM,0,2,2
30,6,2021,2021/03/13 7:56 AM,0,2,2
31,6,2021,2021/03/12 7:36 AM,0,2,1
32,6,2021,2021/03/11 6:45 AM,0,1,1
33,6,2021,2021/03/10 8:08 AM,0,1,1
34,6,2021,2021/03/09 7:17 AM,0,1,1
35,6,2021,2021/03/08 7:30 AM,0,1,2
36,6,2021,2021/03/07 7:07 AM,0,2,2
37,6,2021,2021/03/06 7:07 AM,0,2,2
38,6,2021,2021/03/05 6:55 AM,0,2,2
39,6,2021,2021/03/04 7:48 AM,0,2,2
40,6,2021,2021/03/03 6:50 AM,0,2,1
41,6,2021,2021/03/02 7:16 AM,0,2,1
42,6,2021,2021/03/01 7:12 AM,0,2,1
43,6,2021,2021/02/28 7:31 AM,0,2,1
44,6,2021,2021/02/27 6:28 AM,0,2,1
45,6,2021,2021/02/26 6:59 AM,0,2,1
46,6,2021,2021/02/25 6:21 AM,0,2,1
47,6,2021,2021/02/24 8:01 AM,0,2,1
48,6,2021,2021/02/23 7:26 AM,0,3,2
49,6,2021,2021/02/22 7:08 AM,0,3,2
50,6,2021,2021/02/21 7:13 AM,0,3,3
51,6,2021,2021/02/20 6:29 AM,0,3,3
52,6,2021,2021/02/19 7:14 AM,0,3,3
53,6,2021,2021/02/18 7:26 AM,0,3,3
54,6,2021,2021/02/17 6:37 AM,0,3,3
55,6,2021,2021/02/16 7:32 AM,0,3,3
56,6,2021,2021/02/15 7:34 AM,0,3,3
57,6,2021,2021/02/14 7:20 AM,0,3,3
58,6,2021,2021/02/13 7:26 AM,0,4,4
59,6,2021,2021/02/12 7:36 AM,0,3,3
60,6,2021,2021/02/11 6:35 AM,0,3,3
61,6,2021,2021/02/10 7:46 AM,0,3,3
62,6,2021,2021/02/09 7:05 AM,0,3,3
